Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
35.64453125,29.296875,4.39453125,24.4140625,0,0,6,Shawn
51.7578125,26.3671875,-5.37109375,27.34375,0,1,6,Shawn
29.296875,15.625,-8.7890625,59.5703125,0,2,6,Shawn
5.859375,4.8828125,-3.90625,69.82421875,0,3,6,Shawn
31.73828125,16.11328125,-14.16015625,33.203125,0,4,6,Shawn
57.6171875,26.85546875,-35.15625,15.625,0,5,6,Shawn
31.73828125,19.04296875,-26.3671875,38.57421875,0,6,6,Shawn
-4.39453125,15.625,-7.8125,56.15234375,0,7,6,Shawn
4.8828125,19.53125,5.859375,27.34375,0,8,6,Shawn
37.109375,18.06640625,29.296875,-7.8125,0,9,6,Shawn
27.83203125,14.6484375,33.69140625,18.06640625,0,10,6,Shawn
-12.20703125,19.53125,22.4609375,46.38671875,0,11,6,Shawn
-9.27734375,28.80859375,13.671875,32.71484375,0,12,6,Shawn
25.87890625,29.78515625,3.90625,5.37109375,0,13,6,Shawn
24.4140625,20.99609375,-1.46484375,1.46484375,0,14,6,Shawn
-5.37109375,12.20703125,-5.859375,38.57421875,0,15,6,Shawn
-16.11328125,15.625,3.90625,59.08203125,0,16,6,Shawn
8.7890625,19.04296875,20.01953125,16.6015625,0,17,6,Shawn
36.62109375,24.4140625,23.92578125,-6.34765625,0,18,6,Shawn
20.99609375,28.80859375,19.53125,35.15625,0,19,6,Shawn
-6.34765625,19.04296875,19.04296875,54.19921875,0,20,6,Shawn
3.41796875,13.18359375,10.25390625,25.390625,0,21,6,Shawn
34.66796875,18.06640625,3.90625,5.859375,0,22,6,Shawn
21.97265625,21.484375,4.8828125,32.71484375,0,23,6,Shawn
-12.20703125,8.30078125,9.27734375,54.6875,0,24,6,Shawn
-8.30078125,2.9296875,20.5078125,25.390625,0,25,6,Shawn
20.99609375,20.01953125,25.390625,4.8828125,0,26,6,Shawn
28.3203125,26.85546875,12.6953125,27.34375,0,27,6,Shawn
8.30078125,18.06640625,3.90625,73.73046875,0,28,6,Shawn
-0.48828125,14.16015625,13.671875,58.10546875,0,29,6,Shawn
30.2734375,19.53125,1.46484375,14.16015625,0,30,6,Shawn
54.6875,23.92578125,-22.4609375,28.80859375,0,31,6,Shawn
25.87890625,19.04296875,-17.578125,66.89453125,0,32,6,Shawn
1.46484375,11.71875,4.8828125,64.94140625,0,33,6,Shawn
21.97265625,14.6484375,24.4140625,21.484375,0,34,6,Shawn
43.45703125,10.7421875,24.90234375,10.25390625,0,35,6,Shawn
21.484375,7.8125,13.18359375,44.921875,0,36,6,Shawn
